ensembl_id	gene_name	uniprot_id
ENSG00000276424	KIR3DL2	A0A0G2JMI1
ENSG00000276424	KIR3DL2	A0A0G2JM59
ENSG00000276424	KIR3DL2	A0A1W2PQJ3
ENSG00000276424	KIR3DL2	A0A0U5GHD6
ENSG00000276424	KIR3DL2	A0A0G2JPA6
ENSG00000276424	KIR3DL2	A0A0G2JP67
ENSG00000276424	KIR3DL2	Q8NHK6
ENSG00000276424	KIR3DL2	A0A0G2JMW7
ENSG00000276424	KIR3DL2	A0A0G2JLP2
ENSG00000276424	KIR3DL2	A0A1W2PP69
ENSG00000276424	KIR3DL2	A0A0G2JP59
ENSG00000276424	KIR3DL2	A0A0G2JPL0
ENSG00000276424	KIR3DL2	A0A0G2JLU7
ENSG00000276424	KIR3DL2	A0A0G2JMA3
ENSG00000276424	KIR3DL2	A0A0G2JNN5
ENSG00000276424	KIR3DL2	A0A0G2JLZ4
ENSG00000276424	KIR3DL2	A0A0G2JLM7
ENSG00000276424	KIR3DL2	A0A120N617
ENSG00000276424	KIR3DL2	K7R1T8
ENSG00000276424	KIR3DL2	A0A0G2JP93
ENSG00000276424	KIR3DL2	A0A0G2JNA1
ENSG00000276424	KIR3DL2	A0A0U1WNF3
ENSG00000276424	KIR3DL2	A0A0G2JPQ5
ENSG00000276424	KIR3DL2	Q9BQU0
ENSG00000276424	KIR3DL2	A0A0G2JM36
ENSG00000276424	KIR3DL2	Q6H2F6
ENSG00000276424	KIR3DL2	A0A0U1WNF5
ENSG00000276424	KIR3DL2	A0A0G2JLX7
ENSG00000276424	KIR3DL2	A0A0G2JMS0
ENSG00000275237	KIR2DL4	A0A0C4ZNX8
ENSG00000275237	KIR2DL4	A0A0G2JNZ6
